Time [s],Value,Parity Error,Framing Error
0.0210400000,0x98,,Error
0.0228100000,0x16,,
0.0239550000,0xF2,,
0.0250950000,0x16,,
0.0262400000,0xCA,,
0.0273850000,0x16,,
0.0285250000,0xE6,,
0.0296700000,0x16,,
0.0308150000,0xB2,,Error
0.0319600000,0xAE,,Error
0.0331000000,0x9E,,
0.0342450000,0xFE,,
0.0353900000,0xFE,,
0.0365300000,0x3E,,
0.0376750000,0x3A,,
0.0388200000,0x3E,,
0.0399650000,0x3E,,
0.0411050000,0x3E,,
0.0422500000,0x3E,,
0.0433950000,0x16,,
0.0445350000,0xA2,,
0.0456800000,0x16,,
0.0468250000,0xE2,,Error
0.0479700000,0x06,,
0.0491100000,0x00,,Error
0.2510500000,0x98,,Error
0.2528200000,0x16,,
0.2539600000,0xF2,,
0.2551050000,0x16,,
0.2562500000,0xC6,,
0.2573900000,0x16,,
0.2585350000,0xE6,,
0.2596800000,0x16,,
0.2608250000,0xFA,,Error
0.2619650000,0xB2,,Error
0.2631100000,0x82,,
0.2642550000,0x82,,
0.2653950000,0x3E,,
0.2665400000,0x3A,,
0.2676850000,0x3E,,
0.2688250000,0x3E,,
0.2699700000,0x3E,,
0.2711150000,0x3E,,
0.2722600000,0x3A,,
0.2734000000,0x3A,,
0.2745450000,0x16,,
0.2756900000,0x9A,,
0.2768300000,0x16,,
0.2779750000,0xE2,,Error
0.2791200000,0x06,,
0.2802650000,0x00,,Error
0.3421050000,0x98,,Error
0.3438700000,0x16,,
0.3450150000,0xF2,,
0.3461600000,0x16,,
0.3473000000,0xE2,,
0.3484450000,0x16,,
0.3495900000,0xE6,,
0.3507300000,0x16,,
0.3518750000,0xBE,,Error
0.3530200000,0xBE,,Error
0.3541650000,0x3E,,
0.3553050000,0x3A,,
0.3564500000,0x3E,,
0.3575950000,0x16,,
0.3587350000,0x36,,
0.3598800000,0x16,,
0.3610250000,0xE2,,Error
0.3621700000,0x06,,
0.3633100000,0x00,,Error
0.6054700000,0x98,,Error
0.6072400000,0x16,,
0.6083850000,0xF2,,
0.6095250000,0x16,,
0.6106700000,0xC6,,
0.6118150000,0x16,,
0.6129600000,0xE6,,
0.6141000000,0x16,,
0.6152450000,0xFA,,Error
0.6163900000,0xB2,,Error
0.6175300000,0x82,,
0.6186750000,0x82,,
0.6198200000,0x3E,,
0.6209650000,0x3A,,
0.6221050000,0x3E,,
0.6232500000,0x3E,,
0.6243950000,0x3E,,
0.6255350000,0x3E,,
0.6266800000,0x3A,,
0.6278250000,0x3A,,
0.6289700000,0x16,,
0.6301100000,0x9A,,
0.6312550000,0x16,,
0.6324000000,0xE2,,Error
0.6335400000,0x06,,
0.6346850000,0x00,,Error
0.6961100000,0x98,,Error
0.6978750000,0x16,,
0.6990200000,0xF2,,
0.7001650000,0x16,,
0.7013100000,0xC6,,
0.7024500000,0x16,,
0.7035950000,0xE6,,
0.7047400000,0x16,,
0.7058800000,0xFA,,Error
0.7070250000,0xB2,,Error
0.7081700000,0x82,,
0.7093150000,0x82,,
0.7104550000,0x3E,,
0.7116000000,0x3A,,
0.7127450000,0x3E,,
0.7138850000,0x3E,,
0.7150300000,0x3E,,
0.7161750000,0x3E,,
0.7173200000,0x3A,,
0.7184600000,0x3A,,
0.7196050000,0x16,,
0.7207500000,0x9A,,
0.7218900000,0x16,,
0.7230350000,0xE2,,Error
0.7241800000,0x06,,
0.7253250000,0x00,,Error
0.7871650000,0x98,,Error
0.7889300000,0x16,,
0.7900750000,0xF2,,
0.7912150000,0x16,,
0.7923600000,0xE2,,
0.7935050000,0x16,,
0.7946500000,0xE6,,
0.7957900000,0x16,,
0.7969350000,0xAE,,Error
0.7980800000,0xBE,,Error
0.7992200000,0x3E,,
0.8003650000,0x3A,,
0.8015100000,0x3E,,
0.8026550000,0x16,,
0.8037950000,0x26,,
0.8049400000,0x16,,
0.8060850000,0xE2,,Error
0.8072250000,0x06,,
0.8083700000,0x00,,Error
1.0351450000,0x98,,Error
1.0369100000,0x16,,
1.0380550000,0xF2,,
1.0392000000,0x16,,
1.0403450000,0xC6,,
1.0414850000,0x16,,
1.0426300000,0xE6,,
1.0437750000,0x16,,
1.0449150000,0xFA,,Error
1.0460600000,0xB2,,Error
1.0472050000,0x82,,
1.0483500000,0x82,,
1.0494900000,0x3E,,
1.0506350000,0x3A,,
1.0517800000,0x3E,,
1.0529200000,0x3E,,
1.0540650000,0x3E,,
1.0552100000,0x2E,,
1.0563550000,0x3A,,
1.0574950000,0x3A,,
1.0586400000,0x16,,
1.0597850000,0x8A,,
1.0609250000,0x16,,
1.0620700000,0xE2,,Error
1.0632150000,0x06,,
1.0643600000,0x00,,Error
1.3215850000,0x98,,Error
1.3233500000,0x16,,
1.3244950000,0xF2,,
1.3256400000,0x16,,
1.3267800000,0xC6,,
1.3279250000,0x16,,
1.3290700000,0xE6,,
1.3302150000,0x16,,
1.3313550000,0xFA,,Error
1.3325000000,0xB2,,Error
1.3336450000,0x82,,
1.3347850000,0x82,,
1.3359300000,0x3E,,
1.3370750000,0x3A,,
1.3382200000,0x3E,,
1.3393600000,0x3E,,
1.3405050000,0x3E,,
1.3416500000,0x1A,,
1.3427900000,0x3A,,
1.3439350000,0x3A,,
1.3450800000,0x16,,
1.3462200000,0xBE,,
1.3473650000,0x16,,
1.3485100000,0xE2,,Error
1.3496550000,0x06,,
1.3507950000,0x00,,Error
1.5928450000,0x98,,Error
1.5946100000,0x16,,
1.5957550000,0xF2,,
1.5969000000,0x16,,
1.5980450000,0xC6,,
1.5991850000,0x16,,
1.6003300000,0xE6,,
1.6014750000,0x16,,
1.6026150000,0xFA,,Error
1.6037600000,0xB2,,Error
1.6049050000,0x82,,
1.6060450000,0x82,,
1.6071900000,0x3E,,
1.6083350000,0x3A,,
1.6094800000,0x3E,,
1.6106200000,0x3E,,
1.6117650000,0x3E,,
1.6129100000,0x1A,,
1.6140500000,0x3A,,
1.6151950000,0x3A,,
1.6163400000,0x16,,
1.6174800000,0xBE,,
1.6186250000,0x16,,
1.6197700000,0xE2,,Error
1.6209150000,0x06,,
1.6220550000,0x00,,Error
2.0448350000,0x98,,Error
2.0466000000,0x16,,
2.0477450000,0xF2,,
2.0488850000,0x16,,
2.0500300000,0xCA,,
2.0511750000,0x16,,
2.0523200000,0xE6,,
2.0534600000,0x16,,
2.0546050000,0xB2,,Error
2.0557500000,0xAE,,Error
2.0568900000,0x9E,,
2.0580350000,0xFE,,
2.0591800000,0xFE,,
2.0603200000,0x3E,,
2.0614650000,0x3A,,
2.0626100000,0x3E,,
2.0637550000,0x3E,,
2.0648950000,0x3E,,
2.0660400000,0x1A,,
2.0671850000,0x16,,
2.0683250000,0x86,,
2.0694700000,0x16,,
2.0706150000,0xE2,,Error
2.0717600000,0x06,,
2.0729000000,0x00,,Error
3.0378950000,0x98,,Error
3.0396600000,0x16,,
3.0408050000,0xF2,,
3.0419500000,0x16,,
3.0430900000,0xCA,,
3.0442350000,0x16,,
3.0453800000,0xE6,,
3.0465250000,0x16,,
3.0476650000,0xB2,,Error
3.0488100000,0xAE,,Error
3.0499550000,0x9E,,
3.0510950000,0xFE,,
3.0522400000,0xFE,,
3.0533850000,0x3E,,
3.0545300000,0x3A,,
3.0556700000,0x3E,,
3.0568150000,0x3E,,
3.0579600000,0x3E,,
3.0591000000,0x1A,,
3.0602450000,0x16,,
3.0613900000,0x86,,
3.0625350000,0x16,,
3.0636750000,0xE2,,Error
3.0648200000,0x06,,
