Time [s],Value,Parity Error,Framing Error
0.0003100000,0x58,,Error
0.0019850000,0x8B,,
0.0030350000,0xFD,,
0.0040850000,0x8B,,
0.0051350000,0xF9,,
0.0061900000,0x8B,,
0.0072400000,0x59,,
0.0082900000,0x57,,
0.0093400000,0x8B,,
0.0103900000,0x8B,,
0.0114400000,0xF3,,
0.0124900000,0x8B,,
0.0135450000,0x71,,
0.0145950000,0x83,,
0.0156450000,0x00,,Error
0.2186950000,0x58,,Error
0.2203700000,0x8B,,
0.2214200000,0xFD,,
0.2224700000,0x8B,,
0.2235200000,0xF9,,
0.2245700000,0x8B,,
0.2256200000,0x7D,,
0.2266750000,0x59,,
0.2277250000,0x8B,,
0.2287750000,0x8B,,
0.2298250000,0xD9,,
0.2308750000,0x8B,,
0.2319250000,0x71,,
0.2329750000,0x83,,
0.2340300000,0x00,,Error
0.3075750000,0x58,,Error
0.3092500000,0x8B,,
0.3103000000,0xFD,,
0.3113500000,0x8B,,
0.3124050000,0xF3,,
0.3134550000,0x8B,,
0.3145050000,0x5F,,
0.3155550000,0x5F,,
0.3166050000,0x8B,,
0.3176550000,0x9F,,
0.3187050000,0x9D,,
0.3197550000,0x9F,,
0.3208100000,0x8B,,
0.3218600000,0x95,,
0.3229100000,0x8B,,
0.3239600000,0x71,,
0.3250100000,0x83,,
0.3260600000,0x00,,Error
0.5786000000,0x58,,Error
0.5802750000,0x8B,,
0.5813250000,0xFD,,
0.5823750000,0x8B,,
0.5834250000,0xF9,,
0.5844800000,0x8B,,
0.5855300000,0x7D,,
0.5865800000,0x59,,
0.5876300000,0x8B,,
0.5886800000,0x8B,,
0.5897300000,0xD9,,
0.5907800000,0x8B,,
0.5918300000,0x71,,
0.5928850000,0x83,,
0.5939350000,0x00,,Error
0.6685450000,0x58,,Error
0.6702200000,0x8B,,
0.6712700000,0xFD,,
0.6723200000,0x8B,,
0.6733700000,0xF9,,
0.6744200000,0x8B,,
0.6754700000,0x7D,,
0.6765200000,0x59,,
0.6775750000,0x8B,,
0.6786250000,0x8B,,
0.6796750000,0xD9,,
0.6807250000,0x8B,,
0.6817750000,0x71,,
0.6828250000,0x83,,
0.6838750000,0x00,,Error
0.7485550000,0x58,,Error
0.7502300000,0x8B,,
0.7512800000,0xFD,,
0.7523300000,0x8B,,
0.7533800000,0xF3,,
0.7544300000,0x8B,,
0.7554800000,0x57,,
0.7565300000,0x5F,,
0.7575850000,0x8B,,
0.7586350000,0x9F,,
0.7596850000,0x9D,,
0.7607350000,0x9F,,
0.7617850000,0x8B,,
0.7628350000,0x9D,,
0.7638850000,0x8B,,
0.7649350000,0x71,,
0.7659900000,0x83,,
0.7670400000,0x00,,Error
1.0185900000,0x58,,Error
1.0202650000,0x8B,,
1.0213150000,0xFD,,
1.0223650000,0x8B,,
1.0234150000,0xF9,,
1.0244700000,0x8B,,
1.0255200000,0x7D,,
1.0265700000,0x59,,
1.0276200000,0x8B,,
1.0286700000,0x8B,,
1.0297200000,0xD9,,
1.0307700000,0x8B,,
1.0318250000,0x71,,
1.0328750000,0x83,,
1.0339250000,0x00,,Error
1.2875350000,0x58,,Error
1.2892100000,0x8B,,
1.2902600000,0xFD,,
1.2913100000,0x8B,,
1.2923600000,0xF9,,
1.2934100000,0x8B,,
1.2944650000,0x7D,,
1.2955150000,0x59,,
1.2965650000,0x8B,,
1.2976150000,0x8B,,
1.2986650000,0xD9,,
1.2997150000,0x8B,,
1.3007650000,0x71,,
1.3018200000,0x83,,
1.3028700000,0x00,,Error
1.5675000000,0x58,,Error
1.5691750000,0x8B,,
1.5702250000,0xFD,,
1.5712750000,0x8B,,
1.5723300000,0xF9,,
1.5733800000,0x8B,,
1.5744300000,0x7D,,
1.5754800000,0x59,,
1.5765300000,0x8B,,
1.5775800000,0x8B,,
1.5786300000,0xD9,,
1.5796800000,0x8B,,
1.5807350000,0x71,,
1.5817850000,0x83,,
1.5828350000,0x00,,Error
2.0185950000,0x58,,Error
2.0202700000,0x8B,,
2.0213200000,0xFD,,
2.0223700000,0x8B,,
2.0234200000,0xF9,,
2.0244750000,0x8B,,
2.0255250000,0x59,,
2.0265750000,0x57,,
2.0276250000,0x8B,,
2.0286750000,0x8B,,
2.0297250000,0xF3,,
2.0307750000,0x8B,,
2.0318300000,0x71,,
2.0328800000,0x83,,
2.0339300000,0x00,,Error
3.0197350000,0x58,,Error
3.0214100000,0x8B,,
3.0224600000,0xFD,,
3.0235100000,0x8B,,
3.0245600000,0xF9,,
3.0256100000,0x8B,,
3.0266600000,0x59,,
3.0277150000,0x57,,
3.0287650000,0x8B,,
3.0298150000,0x8B,,
3.0308650000,0xF3,,
3.0319150000,0x8B,,
3.0329650000,0x71,,
3.0340150000,0x83,,
3.0350700000,0x00,,Error
4.0278750000,0x58,,Error
4.0295500000,0x8B,,
4.0306000000,0xFD,,
4.0316500000,0x8B,,
4.0327000000,0xF9,,
4.0337550000,0x8B,,
4.0348050000,0x59,,
4.0358550000,0x57,,
4.0369050000,0x8B,,
4.0379550000,0x8B,,
4.0390050000,0xF3,,
4.0400550000,0x8B,,
4.0411050000,0x71,,
4.0421600000,0x83,,
4.0432100000,0x00,,Error
