Time [s],Value,Parity Error,Framing Error
0.1409750000,0x98,,Error
0.1427450000,0x16,,
0.1438900000,0xF2,,
0.1450300000,0x16,,
0.1461750000,0xCA,,
0.1473200000,0x16,,
0.1484600000,0xE6,,
0.1496050000,0x16,,
0.1507500000,0xB2,,Error
0.1518900000,0xAE,,Error
0.1530350000,0x9E,,
0.1541800000,0xFE,,
0.1553250000,0xFE,,
0.1564650000,0x3E,,
0.1576100000,0x3E,,
0.1587550000,0x3E,,
0.1598950000,0x32,,
0.1610400000,0x2A,,
0.1621850000,0x1A,,
0.1633250000,0x16,,
0.1644700000,0x9A,,
0.1656150000,0x16,,
0.1667550000,0xE2,,Error
0.1679000000,0x06,,
0.1690450000,0x00,,Error
1.1540300000,0x98,,Error
1.1558000000,0x16,,
1.1569400000,0xF2,,
1.1580850000,0x16,,
1.1592300000,0xCA,,
1.1603700000,0x16,,
1.1615150000,0xE6,,
1.1626600000,0x16,,
1.1638000000,0xB2,,Error
1.1649450000,0xAE,,Error
1.1660900000,0x9E,,
1.1672300000,0xFE,,
1.1683750000,0xFE,,
1.1695200000,0x3E,,
1.1706600000,0x3E,,
1.1718050000,0x3E,,
1.1729500000,0x32,,
1.1740900000,0x2A,,
1.1752350000,0x1A,,
1.1763800000,0x16,,
1.1775250000,0x9A,,
1.1786650000,0x16,,
1.1798100000,0xE2,,Error
1.1809550000,0x06,,
1.1820950000,0x00,,Error
2.1670650000,0x98,,Error
2.1688300000,0x16,,
2.1699750000,0xF2,,
2.1711200000,0x16,,
2.1722600000,0xCA,,
2.1734050000,0x16,,
2.1745500000,0xE6,,
2.1756950000,0x16,,
2.1768350000,0xB2,,Error
2.1779800000,0xAE,,Error
2.1791250000,0x9E,,
2.1802650000,0xFE,,
2.1814100000,0xFE,,
2.1825550000,0x3E,,
2.1836950000,0x3E,,
2.1848400000,0x3E,,
2.1859850000,0x32,,
2.1871300000,0x2A,,
2.1882700000,0x1A,,
2.1894150000,0x16,,
2.1905600000,0x9A,,
2.1917000000,0x16,,
2.1928450000,0xE2,,Error
2.1939900000,0x06,,
2.1951300000,0x00,,Error
3.1600550000,0x98,,Error
3.1618250000,0x16,,
3.1629650000,0xF2,,
3.1641100000,0x16,,
3.1652550000,0xCA,,
3.1663950000,0x16,,
3.1675400000,0xE6,,
3.1686850000,0x16,,
3.1698300000,0xB2,,Error
3.1709700000,0xAE,,Error
3.1721150000,0x9E,,
3.1732600000,0xFE,,
3.1744000000,0xFE,,
3.1755450000,0x3E,,
3.1766900000,0x3E,,
3.1778300000,0x3E,,
3.1789750000,0x32,,
3.1801200000,0x2A,,
3.1812600000,0x1A,,
3.1824050000,0x16,,
3.1835500000,0x9A,,
3.1846900000,0x16,,
3.1858350000,0xE2,,Error
3.1869800000,0x06,,
3.1881250000,0x00,,Error
4.1731050000,0x98,,Error
4.1748750000,0x16,,
4.1760150000,0xF2,,
4.1771600000,0x16,,
4.1783050000,0xCA,,
4.1794450000,0x16,,
4.1805900000,0xE6,,
4.1817350000,0x16,,
4.1828750000,0xB2,,Error
4.1840200000,0xAE,,Error
4.1851650000,0x9E,,
4.1863050000,0xFE,,
4.1874500000,0xFE,,
4.1885950000,0x3E,,
4.1897350000,0x3E,,
4.1908800000,0x3E,,
4.1920250000,0x32,,
4.1931700000,0x2A,,
4.1943100000,0x1A,,
4.1954550000,0x16,,
4.1966000000,0x9A,,
4.1977400000,0x16,,
4.1988850000,0xE2,,Error
4.2000300000,0x06,,
4.2011700000,0x00,,Error
