Time [s],Value,Parity Error,Framing Error
0.1204750000,0x58,,Error
0.1221500000,0x8B,,
0.1232000000,0xFD,,
0.1242500000,0x8B,,
0.1253000000,0xF9,,
0.1263500000,0x8B,,
0.1274000000,0x59,,
0.1284500000,0x57,,
0.1295050000,0x8B,,
0.1305550000,0x8B,,
0.1316050000,0xF3,,
0.1326550000,0x8B,,
0.1337050000,0x71,,
0.1347550000,0x83,,
0.1358050000,0x00,,Error
1.1313050000,0x58,,Error
1.1329800000,0x8B,,
1.1340300000,0xFD,,
1.1350800000,0x8B,,
1.1361300000,0xF9,,
1.1371850000,0x8B,,
1.1382350000,0x59,,
1.1392850000,0x57,,
1.1403350000,0x8B,,
1.1413850000,0x8B,,
1.1424350000,0xF3,,
1.1434850000,0x8B,,
1.1445400000,0x71,,
1.1455900000,0x83,,
1.1466400000,0x00,,Error
2.1331600000,0x58,,Error
2.1348350000,0x8B,,
2.1358850000,0xFD,,
2.1369350000,0x8B,,
2.1379850000,0xF9,,
2.1390350000,0x8B,,
2.1400850000,0x59,,
2.1411350000,0x57,,
2.1421900000,0x8B,,
2.1432400000,0x8B,,
2.1442900000,0xF3,,
2.1453400000,0x8B,,
2.1463900000,0x71,,
2.1474400000,0x83,,
2.1484900000,0x00,,Error
3.1431200000,0x58,,Error
3.1447950000,0x8B,,
3.1458450000,0xFD,,
3.1468950000,0x8B,,
3.1479450000,0xF9,,
3.1490000000,0x8B,,
3.1500500000,0x59,,
3.1511000000,0x57,,
3.1521500000,0x8B,,
3.1532000000,0x8B,,
3.1542500000,0xF3,,
3.1553000000,0x8B,,
3.1563550000,0x71,,
3.1574050000,0x83,,
3.1584550000,0x00,,Error
4.1451000000,0x58,,Error
4.1467750000,0x8B,,
4.1478250000,0xFD,,
4.1488750000,0x8B,,
4.1499250000,0xF9,,
4.1509750000,0x8B,,
4.1520250000,0x59,,
4.1530800000,0x57,,
4.1541300000,0x8B,,
4.1551800000,0x8B,,
4.1562300000,0xF3,,
4.1572800000,0x8B,,
4.1583300000,0x71,,
4.1593800000,0x83,,
4.1604300000,0x00,,Error
