Time [s],Value,Parity Error,Framing Error
5.1974100000,0x58,,Error
5.1990850000,0x8B,,
5.2001350000,0xFD,,
5.2011850000,0x8B,,
5.2022350000,0xF9,,
5.2032850000,0x8B,,
5.2043350000,0x7D,,
5.2053850000,0x59,,
5.2064350000,0x8B,,
5.2074900000,0x8B,,
5.2085400000,0xD9,,
5.2095900000,0x8B,,
5.2106400000,0x71,,
5.2116900000,0x83,,
5.2127400000,0x00,,Error
5.2845400000,0x58,,Error
5.2862100000,0x8B,,
5.2872650000,0xFD,,
5.2883150000,0x8B,,
5.2893650000,0xF9,,
5.2904150000,0x8B,,
5.2914650000,0x59,,
5.2925150000,0x57,,
5.2935650000,0x8B,,
5.2946200000,0x8B,,
5.2956700000,0xF3,,
5.2967200000,0x8B,,
5.2977700000,0x71,,
5.2988200000,0x83,,
5.2998700000,0x00,,Error
6.4306850000,0x58,,Error
6.4323600000,0x8B,,
6.4334100000,0xFD,,
6.4344650000,0x8B,,
6.4355150000,0xF9,,
6.4365650000,0x8B,,
6.4376150000,0x59,,
6.4386650000,0x57,,
6.4397150000,0x8B,,
6.4407650000,0x8B,,
6.4418200000,0xF3,,
6.4428700000,0x8B,,
6.4439200000,0x71,,
6.4449700000,0x83,,
6.4460200000,0x00,,Error
7.4378300000,0x58,,Error
7.4395050000,0x8B,,
7.4405550000,0xFD,,
7.4416050000,0x8B,,
7.4426550000,0xF9,,
7.4437100000,0x8B,,
7.4447600000,0x59,,
7.4458100000,0x57,,
7.4468600000,0x8B,,
7.4479100000,0x8B,,
7.4489600000,0xF3,,
7.4500100000,0x8B,,
7.4510650000,0x71,,
7.4521150000,0x83,,
7.4531650000,0x00,,Error
8.4536600000,0x58,,Error
8.4553350000,0x8B,,
8.4563850000,0xFD,,
8.4574350000,0x8B,,
8.4584850000,0xF9,,
8.4595350000,0x8B,,
8.4605900000,0x59,,
8.4616400000,0x57,,
8.4626900000,0x8B,,
8.4637400000,0x8B,,
8.4647900000,0xF3,,
8.4658400000,0x8B,,
8.4668900000,0x71,,
8.4679400000,0x83,,
8.4689950000,0x00,,Error
9.4639800000,0x58,,Error
9.4656550000,0x8B,,
9.4667050000,0xFD,,
9.4677550000,0x8B,,
9.4688050000,0xF9,,
9.4698550000,0x8B,,
9.4709050000,0x59,,
9.4719600000,0x57,,
9.4730100000,0x8B,,
9.4740600000,0x8B,,
9.4751100000,0xF3,,
9.4761600000,0x8B,,
9.4772100000,0x71,,
9.4782600000,0x83,,
9.4793150000,0x00,,Error
10.4795350000,0x58,,Error
10.4812100000,0x8B,,
10.4822600000,0xFD,,
10.4833100000,0x8B,,
10.4843650000,0xF9,,
10.4854150000,0x8B,,
10.4864650000,0x59,,
10.4875150000,0x57,,
10.4885650000,0x8B,,
10.4896150000,0x8B,,
10.4906650000,0xF3,,
10.4917200000,0x8B,,
10.4927700000,0x71,,
10.4938200000,0x83,,
10.4948700000,0x00,,Error
11.4865000000,0x58,,Error
11.4881750000,0x8B,,
11.4892250000,0xFD,,
11.4902750000,0x8B,,
11.4913250000,0xF9,,
11.4923750000,0x8B,,
11.4934250000,0x59,,
11.4944750000,0x57,,
11.4955300000,0x8B,,
11.4965800000,0x8B,,
11.4976300000,0xF3,,
11.4986800000,0x8B,,
11.4997300000,0x71,,
11.5007800000,0x83,,
11.5018300000,0x00,,Error
12.1608500000,0x58,,Error
12.1625250000,0x8B,,
12.1635750000,0xFD,,
12.1646250000,0x8B,,
12.1656750000,0xF9,,
12.1667250000,0x8B,,
12.1677750000,0x7D,,
12.1688250000,0x59,,
12.1698800000,0x8B,,
12.1709300000,0x8B,,
12.1719800000,0xD9,,
12.1730300000,0x8B,,
12.1740800000,0x71,,
12.1751300000,0x83,,
12.1761800000,0x00,,Error
12.2366200000,0x58,,Error
12.2382900000,0x8B,,
12.2393450000,0xFD,,
12.2403950000,0x8B,,
12.2414450000,0xF3,,
12.2424950000,0x8B,,
12.2435450000,0x5F,,
12.2445950000,0x5F,,
12.2456450000,0x8B,,
12.2467000000,0x9D,,
12.2477500000,0x8F,,
12.2488000000,0x9F,,
12.2498500000,0x8B,,
12.2509000000,0x85,,
12.2519500000,0x8B,,
12.2530000000,0x71,,
12.2540550000,0x83,,
12.2551050000,0x00,,Error
12.5066600000,0x58,,Error
12.5083350000,0x8B,,
12.5093850000,0xFD,,
12.5104350000,0x8B,,
12.5114850000,0xF9,,
12.5125350000,0x8B,,
12.5135850000,0x7D,,
12.5146350000,0x59,,
12.5156850000,0x8B,,
12.5167400000,0x8B,,
12.5177900000,0xD9,,
12.5188400000,0x8B,,
12.5198900000,0x71,,
12.5209400000,0x83,,
12.5219900000,0x00,,Error
12.7681200000,0x58,,Error
12.7697950000,0x8B,,
12.7708450000,0xFD,,
12.7719000000,0x8B,,
12.7729500000,0xF9,,
12.7740000000,0x8B,,
12.7750500000,0x7D,,
12.7761000000,0x59,,
12.7771500000,0x8B,,
12.7782000000,0x8B,,
12.7792550000,0xD9,,
12.7803050000,0x8B,,
12.7813550000,0x71,,
12.7824050000,0x83,,
12.7834550000,0x00,,Error
13.0383950000,0x58,,Error
13.0400700000,0x8B,,
13.0411200000,0xFD,,
13.0421750000,0x8B,,
13.0432250000,0xF9,,
13.0442750000,0x8B,,
13.0453250000,0x7D,,
13.0463750000,0x59,,
