Time [s],Value,Parity Error,Framing Error
5.2334050000,0x98,,Error
5.2351750000,0x16,,
5.2363200000,0xF2,,
5.2374650000,0x16,,
5.2386100000,0xC6,,
5.2397550000,0x16,,
5.2409000000,0xE6,,
5.2420400000,0x16,,
5.2431850000,0xFA,,Error
5.2443300000,0xB2,,Error
5.2454750000,0x76,,Error
5.2466200000,0x76,,Error
5.2477650000,0x32,,
5.2489100000,0x2A,,
5.2500550000,0x1A,,
5.2512000000,0x32,,
5.2523450000,0x2A,,
5.2534900000,0x1A,,
5.2546350000,0x3A,,
5.2557800000,0x3A,,
5.2569250000,0x16,,
5.2580700000,0x9E,,
5.2592150000,0x16,,
5.2603600000,0xE2,,Error
5.2615050000,0x06,,
5.2626500000,0x00,,Error
5.3040700000,0x98,,Error
5.3058400000,0x16,,
5.3069850000,0xF2,,
5.3081300000,0x16,,
5.3092750000,0xCA,,
5.3104200000,0x16,,
5.3115650000,0xE6,,
5.3127100000,0x16,,
5.3138550000,0xB2,,Error
5.3150000000,0xAE,,Error
5.3161400000,0x9E,,
5.3172850000,0xFE,,
5.3184300000,0xFE,,
5.3195750000,0x32,,
5.3207200000,0x2A,,
5.3218650000,0x1A,,
5.3230100000,0x32,,
5.3241550000,0x2A,,
5.3253000000,0x1A,,
5.3264450000,0x16,,
5.3275900000,0xA6,,
5.3287350000,0x16,,
5.3298800000,0xE2,,Error
5.3310250000,0x06,,
5.3321700000,0x00,,Error
6.4594250000,0x98,,Error
6.4611950000,0x16,,
6.4623350000,0xF2,,
6.4634800000,0x16,,
6.4646250000,0xCA,,
6.4657700000,0x16,,
6.4669150000,0xE6,,
6.4680600000,0x16,,
6.4692050000,0xB2,,Error
6.4703500000,0xAE,,Error
6.4714950000,0x9E,,
6.4726400000,0xFE,,
6.4737850000,0xFE,,
6.4749300000,0x32,,
6.4760750000,0x2A,,
6.4772200000,0x1A,,
6.4783650000,0x32,,
6.4795100000,0x2A,,
6.4806550000,0x1A,,
6.4818000000,0x16,,
6.4829450000,0xA6,,
6.4840900000,0x16,,
6.4852350000,0xE2,,Error
6.4863800000,0x06,,
6.4875250000,0x00,,Error
7.4739200000,0x98,,Error
7.4756900000,0x16,,
7.4768350000,0xF2,,
7.4779800000,0x16,,
7.4791250000,0xCA,,
7.4802700000,0x16,,
7.4814150000,0xE6,,
7.4825600000,0x16,,
7.4837050000,0xB2,,Error
7.4848500000,0xAE,,Error
7.4859950000,0x9E,,
7.4871400000,0xFE,,
7.4882850000,0xFE,,
7.4894250000,0x32,,
7.4905700000,0x2A,,
7.4917150000,0x1A,,
7.4928600000,0x32,,
7.4940050000,0x2A,,
7.4951500000,0x1A,,
7.4962950000,0x16,,
7.4974400000,0xA6,,
7.4985850000,0x16,,
7.4997300000,0xE2,,Error
7.5008750000,0x06,,
7.5020200000,0x00,,Error
8.4884250000,0x98,,Error
8.4901900000,0x16,,
8.4913350000,0xF2,,
8.4924800000,0x16,,
8.4936250000,0xCA,,
8.4947700000,0x16,,
8.4959150000,0xE6,,
8.4970600000,0x16,,
8.4982050000,0xB2,,Error
8.4993500000,0xAE,,Error
8.5004950000,0x9E,,
8.5016400000,0xFE,,
8.5027850000,0xFE,,
8.5039300000,0x32,,
8.5050750000,0x2A,,
8.5062200000,0x1A,,
8.5073650000,0x32,,
8.5085100000,0x2A,,
8.5096500000,0x1A,,
8.5107950000,0x16,,
8.5119400000,0xA6,,
8.5130850000,0x16,,
8.5142300000,0xE2,,Error
8.5153750000,0x06,,
8.5165200000,0x00,,Error
9.4828150000,0x98,,Error
9.4845850000,0x16,,
9.4857300000,0xF2,,
9.4868750000,0x16,,
9.4880200000,0xCA,,
9.4891600000,0x16,,
9.4903050000,0xE6,,
9.4914500000,0x16,,
9.4925950000,0xB2,,Error
9.4937400000,0xAE,,Error
9.4948850000,0x9E,,
9.4960300000,0xFE,,
9.4971750000,0xFE,,
9.4983200000,0x32,,
9.4994650000,0x2A,,
9.5006100000,0x1A,,
9.5017550000,0x32,,
9.5029000000,0x2A,,
9.5040450000,0x1A,,
9.5051900000,0x16,,
9.5063350000,0xA6,,
9.5074800000,0x16,,
9.5086250000,0xE2,,Error
9.5097700000,0x06,,
9.5109100000,0x00,,Error
10.4973200000,0x98,,Error
10.4990900000,0x16,,
10.5002350000,0xF2,,
10.5013800000,0x16,,
10.5025250000,0xCA,,
10.5036700000,0x16,,
10.5048150000,0xE6,,
10.5059600000,0x16,,
10.5071050000,0xB2,,Error
10.5082500000,0xAE,,Error
10.5093950000,0x9E,,
10.5105400000,0xFE,,
10.5116850000,0xFE,,
10.5128250000,0x32,,
10.5139700000,0x2A,,
10.5151150000,0x1A,,
10.5162600000,0x32,,
10.5174050000,0x2A,,
10.5185500000,0x1A,,
10.5196950000,0x16,,
10.5208400000,0xA6,,
10.5219850000,0x16,,
10.5231300000,0xE2,,Error
10.5242750000,0x06,,
10.5254200000,0x00,,Error
11.5118100000,0x98,,Error
11.5135800000,0x16,,
11.5147200000,0xF2,,
11.5158650000,0x16,,
11.5170100000,0xCA,,
11.5181550000,0x16,,
11.5193000000,0xE6,,
11.5204450000,0x16,,
11.5215900000,0xB2,,Error
11.5227350000,0xAE,,Error
11.5238800000,0x9E,,
11.5250250000,0xFE,,
11.5261700000,0xFE,,
11.5273150000,0x32,,
11.5284600000,0x2A,,
11.5296050000,0x1A,,
11.5307500000,0x32,,
11.5318950000,0x2A,,
11.5330400000,0x1A,,
11.5341850000,0x16,,
11.5353300000,0xA6,,
11.5364750000,0x16,,
11.5376150000,0xE2,,Error
11.5387600000,0x06,,
11.5399050000,0x00,,Error
12.1845500000,0x98,,Error
12.1863200000,0x16,,
12.1874650000,0xF2,,
12.1886100000,0x16,,
12.1897550000,0xC6,,
12.1909000000,0x16,,
12.1920450000,0xE6,,
12.1931900000,0x16,,
12.1943350000,0xFA,,Error
12.1954800000,0xB2,,Error
12.1966250000,0x76,,Error
12.1977700000,0x76,,Error
12.1989150000,0x32,,
12.2000600000,0x2A,,
12.2012050000,0x1A,,
12.2023450000,0x32,,
12.2034900000,0x2A,,
12.2046350000,0x1A,,
12.2057800000,0x3A,,
12.2069250000,0x3A,,
12.2080700000,0x16,,
12.2092150000,0x9E,,
12.2103600000,0x16,,
12.2115050000,0xE2,,Error
12.2126500000,0x06,,
12.2137950000,0x00,,Error
12.2757200000,0x98,,Error
12.2774900000,0x16,,
12.2786350000,0xF2,,
12.2797800000,0x16,,
12.2809250000,0xE2,,
12.2820700000,0x16,,
12.2832150000,0xE6,,
12.2843600000,0x16,,
12.2855050000,0xBE,,Error
12.2866500000,0xBE,,Error
12.2877950000,0x3A,,
12.2889400000,0x1E,,
12.2900800000,0x3E,,
12.2912250000,0x16,,
12.2923700000,0x16,,
12.2935150000,0x16,,
12.2946600000,0xE2,,Error
12.2958050000,0x06,,
12.2969500000,0x00,,Error
12.5248800000,0x98,,Error
12.5266500000,0x16,,
12.5277950000,0xF2,,
12.5289400000,0x16,,
12.5300850000,0xC6,,
12.5312300000,0x16,,
12.5323750000,0xE6,,
12.5335200000,0x16,,
12.5346650000,0xFA,,Error
12.5358100000,0xB2,,Error
12.5369550000,0x76,,Error
12.5381000000,0x76,,Error
12.5392450000,0x3E,,
12.5403900000,0x3E,,
12.5415350000,0x2E,,
12.5426800000,0x32,,
12.5438250000,0x2A,,
12.5449650000,0x1A,,
12.5461100000,0x3A,,
12.5472550000,0x3A,,
12.5484000000,0x16,,
12.5495450000,0xB2,,
12.5506900000,0x16,,
12.5518350000,0xE2,,Error
12.5529800000,0x06,,
12.5541250000,0x00,,Error
12.7927750000,0x98,,Error
12.7945450000,0x16,,
12.7956900000,0xF2,,
12.7968350000,0x16,,
12.7979800000,0xC6,,
12.7991250000,0x16,,
12.8002700000,0xE6,,
12.8014150000,0x16,,
12.8025600000,0xFA,,Error
12.8037050000,0xB2,,Error
12.8048500000,0x76,,Error
12.8059950000,0x76,,Error
12.8071400000,0x3E,,
12.8082850000,0x3A,,
12.8094300000,0x3A,,
12.8105750000,0x32,,
12.8117200000,0x2A,,
12.8128650000,0x1A,,
12.8140100000,0x3A,,
12.8151550000,0x3A,,
12.8162950000,0x16,,
12.8174400000,0xA2,,
12.8185850000,0x16,,
12.8197300000,0xE2,,Error
12.8208750000,0x06,,
12.8220200000,0x00,,Error
13.0606700000,0x98,,Error
13.0624400000,0x16,,
13.0635850000,0xF2,,
13.0647300000,0x16,,
13.0658750000,0xC6,,
13.0670200000,0x16,,
13.0681650000,0xE6,,
13.0693100000,0x16,,
13.0704550000,0xFA,,Error
13.0716000000,0xB2,,Error
13.0727450000,0x76,,Error
13.0738900000,0x76,,Error
13.0750350000,0x3E,,
13.0761750000,0x3A,,
13.0773200000,0x1E,,
13.0784650000,0x32,,
13.0796100000,0x2A,,
13.0807550000,0x1A,,
13.0819000000,0x3A,,
13.0830450000,0x3A,,
13.0841900000,0x16,,
13.0853350000,0x86,,
13.0864800000,0x16,,
13.0876250000,0xE2,,Error
13.0887700000,0x06,,
13.0899150000,0x00,,Error
13.3285700000,0x98,,Error
13.3303350000,0x16,,
13.3314800000,0xF2,,
13.3326250000,0x16,,
13.3337700000,0xC6,,
13.3349150000,0x16,,
13.3360600000,0xE6,,
13.3372050000,0x16,,
13.3383500000,0xFA,,Error
13.3394950000,0xB2,,Error
13.3406400000,0x76,,Error
13.3417850000,0x76,,Error
13.3429300000,0x3E,,
13.3440750000,0x36,,
13.3452200000,0x26,,
13.3463650000,0x32,,
13.3475100000,0x2A,,
13.3486550000,0x1A,,
13.3498000000,0x3A,,
13.3509450000,0x3A,,
