Time [s],Value,Parity Error,Framing Error
0.0210400000,0x98,,Error
0.0228100000,0x16,,
0.0239550000,0xF2,,
0.0250950000,0x16,,
0.0262400000,0xCA,,
0.0273850000,0x16,,
0.0285250000,0xE6,,
0.0296700000,0x16,,
0.0308150000,0xB2,,Error
0.0319600000,0xAE,,Error
0.0331000000,0x9E,,
0.0342450000,0xFE,,
0.0353900000,0xFE,,
0.0365300000,0x3E,,
0.0376750000,0x3A,,
0.0388200000,0x3E,,
0.0399650000,0x3E,,
0.0411050000,0x3E,,
0.0422500000,0x3E,,
0.0433950000,0x16,,
0.0445350000,0xA2,,
0.0456800000,0x16,,
0.0468250000,0xE2,,Error
0.0479700000,0x06,,
0.0491100000,0x00,,Error 
